Index,Date,Cycle_Draw,Week_Of_Year,Day_Of_Week,Day_Name,Month,Month_Name,Year,Lunar_Illumination,Lunar_Phase,Lunar_Phase_Name,Days_Since_First,N1,N2,N3,N4,N5,E1,E2
1,2025-11-18,1136,47,1,Mardi,11,November,2025,0.0471,7,Dernier Croissant,7949,2,4,15,21,48,6,12
2,2004-02-16,1,8,0,Lundi,2,February,2004,0.2363,6,Dernier Quartier,3,9,26,27,45,48,8,9
3,2004-02-20,2,8,4,Vendredi,2,February,2004,0.0038,7,Dernier Croissant,7,4,22,32,36,47,2,10
4,2004-02-23,2,9,0,Lundi,2,February,2004,0.0788,0,Nouvelle Lune,10,11,21,39,40,43,2,8
5,2004-02-27,3,9,4,Vendredi,2,February,2004,0.3942,1,Premier Croissant,14,6,9,25,28,45,1,4
6,2004-03-01,3,10,0,Lundi,3,March,2004,0.673,2,Premier Quartier,17,5,14,38,43,45,7,11
7,2004-03-05,4,10,4,Vendredi,3,March,2004,0.9545,3,Gibbeuse Croissante,21,7,8,24,35,49,2,12
8,2004-03-08,4,11,0,Lundi,3,March,2004,0.9862,4,Pleine Lune,24,7,8,25,31,45,7,12
9,2004-03-12,5,11,4,Vendredi,3,March,2004,0.7098,5,Gibbeuse Décroissante,28,5,24,29,40,42,6,12
10,2004-03-15,5,12,0,Lundi,3,March,2004,0.3744,6,Dernier Quartier,31,13,35,39,44,47,3,5
11,2004-03-19,6,12,4,Vendredi,3,March,2004,0.0446,7,Dernier Croissant,35,5,8,14,16,18,3,10
12,2004-03-22,6,13,0,Lundi,3,March,2004,0.0124,0,Nouvelle Lune,38,6,7,17,20,21,1,10
13,2004-03-26,7,13,4,Vendredi,3,March,2004,0.2325,1,Premier Croissant,42,24,39,42,43,48,5,8
14,2004-03-29,7,14,0,Lundi,3,March,2004,0.5021,2,Premier Quartier,45,6,12,18,25,41,2,6
15,2004-04-02,8,14,4,Vendredi,4,April,2004,0.8584,3,Gibbeuse Croissante,49,3,8,15,17,48,2,8
16,2004-04-05,8,15,0,Lundi,4,April,2004,0.9966,4,Pleine Lune,52,4,17,25,28,44,5,11
17,2004-04-09,9,15,4,Vendredi,4,April,2004,0.8357,5,Gibbeuse Décroissante,56,11,13,24,29,33,2,5
18,2004-04-12,9,16,0,Lundi,4,April,2004,0.5191,5,Gibbeuse Décroissante,59,8,10,26,32,42,9,12
19,2004-04-16,10,16,4,Vendredi,4,April,2004,0.1282,7,Dernier Croissant,63,1,9,13,35,40,5,6
20,2004-04-19,10,17,0,Lundi,4,April,2004,0.0033,7,Dernier Croissant,66,5,10,23,31,37,3,11
21,2004-04-23,11,17,4,Vendredi,4,April,2004,0.1076,0,Nouvelle Lune,70,3,13,24,39,40,2,8
22,2004-04-26,11,18,0,Lundi,4,April,2004,0.3369,1,Premier Croissant,73,27,30,31,41,43,5,8
23,2004-04-30,12,18,4,Vendredi,4,April,2004,0.7233,2,Premier Quartier,77,13,30,31,32,36,1,12
24,2004-05-03,12,19,0,Lundi,5,May,2004,0.9518,3,Gibbeuse Croissante,80,6,9,10,13,37,1,7
25,2004-05-07,13,19,4,Vendredi,5,May,2004,0.9327,4,Pleine Lune,84,2,14,38,42,45,10,11
26,2004-05-10,13,20,0,Lundi,5,May,2004,0.6628,5,Gibbeuse Décroissante,87,6,9,12,30,39,4,10
27,2004-05-14,14,20,4,Vendredi,5,May,2004,0.2431,6,Dernier Quartier,91,24,31,34,41,43,6,8
28,2004-05-17,14,21,0,Lundi,5,May,2004,0.0448,7,Dernier Croissant,94,13,30,35,36,40,2,6
29,2004-05-21,15,21,4,Vendredi,5,May,2004,0.0298,0,Nouvelle Lune,98,18,28,42,46,48,3,9
30,2004-05-24,15,22,0,Lundi,5,May,2004,0.1961,1,Premier Croissant,101,2,12,19,34,44,6,10
31,2004-05-28,16,22,4,Vendredi,5,May,2004,0.5702,2,Premier Quartier,105,1,3,5,42,47,5,10
32,2004-05-31,16,23,0,Lundi,5,May,2004,0.8593,3,Gibbeuse Croissante,108,4,16,25,29,30,2,10
33,2004-06-04,17,23,4,Vendredi,6,June,2004,0.9887,4,Pleine Lune,112,5,6,42,44,46,4,8
34,2004-06-07,17,24,0,Lundi,6,June,2004,0.7961,5,Gibbeuse Décroissante,115,6,7,23,32,36,11,12
35,2004-06-11,18,24,4,Vendredi,6,June,2004,0.3809,6,Dernier Quartier,119,8,15,26,33,41,9,10
36,2004-06-14,18,25,0,Lundi,6,June,2004,0.1291,6,Dernier Quartier,122,13,19,25,42,45,2,9
37,2004-06-18,19,25,4,Vendredi,6,June,2004,0.0013,0,Nouvelle Lune,126,24,38,41,45,49,1,6
38,2004-06-21,19,26,0,Lundi,6,June,2004,0.09,0,Nouvelle Lune,129,8,23,24,45,49,2,10
39,2004-06-25,20,26,4,Vendredi,6,June,2004,0.4177,1,Premier Croissant,133,1,8,9,18,50,1,5
40,2004-06-28,20,27,0,Lundi,6,June,2004,0.735,2,Premier Quartier,136,19,29,42,45,48,5,7
41,2004-07-02,21,27,4,Vendredi,7,July,2004,0.9954,3,Gibbeuse Croissante,140,1,17,28,32,34,7,8
42,2004-07-05,21,28,0,Lundi,7,July,2004,0.9054,4,Pleine Lune,143,19,27,36,45,49,7,10
43,2004-07-09,22,28,4,Vendredi,7,July,2004,0.5334,5,Gibbeuse Décroissante,147,7,16,21,23,39,7,11
44,2004-07-12,22,29,0,Lundi,7,July,2004,0.2492,6,Dernier Quartier,150,5,8,24,37,47,3,9
45,2004-07-16,23,29,4,Vendredi,7,July,2004,0.0214,7,Dernier Croissant,154,13,22,23,44,49,3,5
46,2004-07-19,23,30,0,Lundi,7,July,2004,0.0239,0,Nouvelle Lune,157,2,28,40,43,45,3,7
47,2004-07-23,24,30,4,Vendredi,7,July,2004,0.2781,1,Premier Croissant,161,19,36,39,40,45,5,6
48,2004-07-26,24,31,0,Lundi,7,July,2004,0.5956,2,Premier Quartier,164,20,21,29,30,35,2,12
49,2004-07-30,25,31,4,Vendredi,7,July,2004,0.9532,3,Gibbeuse Croissante,168,12,15,38,47,48,5,7
50,2004-08-02,25,32,0,Lundi,8,August,2004,0.9762,4,Pleine Lune,171,4,7,14,33,36,1,5
51,2004-08-06,26,32,4,Vendredi,8,August,2004,0.6883,5,Gibbeuse Décroissante,175,12,30,38,40,41,4,12
52,2004-08-09,26,33,0,Lundi,8,August,2004,0.3974,6,Dernier Quartier,178,10,29,43,46,49,7,12
53,2004-08-13,27,33,4,Vendredi,8,August,2004,0.0892,7,Dernier Croissant,182,1,8,13,29,47,5,6
54,2004-08-16,27,34,0,Lundi,8,August,2004,0.0018,7,Dernier Croissant,185,6,9,25,37,46,6,12
55,2004-08-20,28,34,4,Vendredi,8,August,2004,0.1585,1,Premier Croissant,189,9,19,44,47,50,2,9
56,2004-08-23,28,35,0,Lundi,8,August,2004,0.4533,1,Premier Croissant,192,15,18,25,29,47,5,9
57,2004-08-27,29,35,4,Vendredi,8,August,2004,0.8702,2,Premier Quartier,196,8,23,24,47,48,4,9
58,2004-08-30,29,36,0,Lundi,8,August,2004,0.9985,3,Gibbeuse Croissante,199,3,5,19,21,49,1,10
59,2004-09-03,30,36,4,Vendredi,9,September,2004,0.8285,4,Pleine Lune,203,2,9,24,30,41,1,11
